codigo_cie;codigo_inep;nome_escola;nome_municipio;DS_LATITUDE;DS_LONGITUDE;IDESP_AI_18;IDESP_AF_18;IDESP_EM_18;saresp3EF_Mat;saresp3EF_LP;saresp5EF_Mat;saresp5EF_LP;saresp9EF_Mat;saresp9EF_LP;saresp3EM_Mat;saresp3EM_LP;NO_CATEGORIA;NO_DEPENDENCIA;MEDIA_ALUNOS_TURMA_AI;MEDIA_ALUNOS_TURMA_AF;MEDIA_ALUNOS_TURMA_EM;INSE;COMPLEXIDADE_ESCOLAR;REGULARIDADE_DOCENTE;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AI_CAT_6;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;FUN_AF_CAT_6;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5;MED_CAT_6;NUM_Diretores_2014a2019;Sexo_Diretor;Faixa_Etaria_Diretor;TX_RESP_Q004;TX_RESP_Q006;TX_RESP_Q008;TX_RESP_Q010;TX_RESP_Q014;TX_RESP_Q015;TX_RESP_Q016;TX_RESP_Q017;TX_RESP_Q018;TX_RESP_Q019;TX_RESP_Q026;TX_RESP_Q027;TX_RESP_Q028;TX_RESP_Q032;TX_RESP_Q037;TX_RESP_Q038;TX_RESP_Q039;TX_RESP_Q040;TX_RESP_Q041;TX_RESP_Q042;TX_RESP_Q043;TX_RESP_Q044;TX_RESP_Q045;TX_RESP_Q046;TX_RESP_Q047;TX_RESP_Q048;TX_RESP_Q049;TX_RESP_Q050;TX_RESP_Q051;TX_RESP_Q052;TX_RESP_Q053;TX_RESP_Q054;TX_RESP_Q055;TX_RESP_Q077;TX_RESP_Q078;TX_RESP_Q079;TX_RESP_Q080;TX_RESP_Q086;TEM_GREMIO;PEI;ETI;TX_RESP_Q067;TX_RESP_Q068;TX_RESP_Q069;TX_RESP_Q070;TX_RESP_Q071;TX_RESP_Q072;TX_RESP_Q073;TX_RESP_Q074;TX_RESP_Q075;TX_RESP_Q076;TX_RESP_Q081;TX_RESP_Q082;TX_RESP_Q083;TX_RESP_Q084;TX_RESP_Q085;TX_RESP_Q090;TX_RESP_Q091;TX_RESP_Q092;TX_RESP_Q093;TX_RESP_Q094;TX_RESP_Q095;TX_RESP_Q096;TX_RESP_Q097;TX_RESP_Q098;TX_RESP_Q099;TX_RESP_Q100;TX_RESP_Q101;TX_RESP_Q102;TX_RESP_Q103;TX_RESP_Q104;TX_RESP_Q105;TX_RESP_Q106;TX_RESP_Q107;TX_RESP_Q108
20527;35020527;GERALDO LOURENCO PADRE;AGUAI;-22,0579;-46,9713;NULL;3,14;2,13;NULL;NULL;NULL;NULL;249,1;237,2;276,3;271;Urbana;Estadual;NULL;30,6;31,1;5,06;Nível 4;3,5;0;0;0;0;0;0;0;3,5;10,3;55,2;17,2;13,8;0;0;21;57,9;21,1;0;128;Feminino;De30a29;H;B;C;F;C;E;C;C;E;B;B;E;D;H;C;D;D;H;D;D;B;C;C;C;C;C;B;C;C;C;C;C;C;A;A;A;A;B;Sim;Não;Não;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
20539;35020539;OSCAR RODRIGUES ALVES DR;MOGI MIRIM;-22,43124;-46,95699;NULL;NULL;4,68;NULL;NULL;NULL;NULL;NULL;NULL;313,4;311,2;Urbana;Estadual;NULL;NULL;29,8;3,33;Nível 2;2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;26,7;53,3;20;0;0;10;Feminino;De50a54;;B;B;J;G;H;C;C;G;A;A;A;D;H;C;B;F;;D;D;B;C;C;C;D;D;B;B;C;B;B;A;B;B;B;B;A;B;Sim;Sim;Não;A;A;B;C;A;A;D;A;A;A;A;A;B;B;A;A;A;B;B;B;B;A;A;B;B;A;A;B;B;A;A;B;B;A
20540;35020540;JOSUE SILVEIRA DE MATTOS PADRE;SAO JOAO DA BOA VISTA;-21,98167;-46,78232;NULL;2,38;1,91;NULL;NULL;NULL;NULL;237,4;227,5;267,4;257,2;Urbana;Estadual;NULL;26,1;26,8;4,97;Nível 5;2,6;0;0;0;0;0;0;3,9;0;3,8;65,4;11,5;15,4;6,3;6,5;6,5;38,7;22,6;19,4;16;Feminino;De50a54;D;B;D;J;A;G;D;D;G;B;B;E;D;H;C;C;F;H;D;D;B;D;C;D;D;D;B;D;D;C;D;D;D;A;A;A;A;B;Sim;Não;Não;B;C;C;C;B;A;B;B;B;B;A;A;B;B;A;A;A;B;A;B;B;A;A;B;B;A;A;A;A;A;A;B;B;A
20588;35020588;JOAQUIM JOSE CORONEL;SAO JOAO DA BOA VISTA;-21,971;-46,7978;NULL;3,25;2,44;NULL;NULL;NULL;NULL;253,5;247,9;271,5;269,7;Urbana;Estadual;NULL;30;37,9;3,22;Nível 5;2,8;0;0;0;0;0;0;4,3;0;0;43,5;26,1;26,1;0;2,7;7,9;44,7;15,8;28,9;20;Masculino;De30a29;H;B;C;H;G;G;B;A;F;B;B;B;D;F;D;C;D;B;E;E;B;C;B;C;C;C;B;D;B;B;B;B;B;B;A;A;A;B;Sim;Não;Não;A;B;B;A;B;A;B;B;B;A;A;A;B;B;A;B;A;B;B;B;B;B;A;B;B;B;B;B;B;A;A;B;B;B
20618;35020618;ERNANI CALBUCCI PROF;MOGI MIRIM;-22,4188;-46,9568;NULL;2,86;2,45;NULL;NULL;NULL;NULL;254,6;243;281,5;279;Urbana;Estadual;NULL;24,9;29,6;3,23;Nível 4;2,7;0;0;0;0;0;0;0;4,5;4,3;47,8;21,7;21,7;0;2;14,6;41,7;22,9;18,8;24;Feminino;De50a54;;B;C;G;D;H;B;B;G;B;A;A;C;A;C;A;D;A;E;E;B;C;C;D;D;D;B;A;C;B;B;A;A;A;A;A;A;B;Sim;Não;Não;A;D;B;B;B;A;C;C;B;B;A;A;B;B;A;A;A;B;B;A;B;B;A;B;B;B;A;A;A;A;B;B;B;A
20624;35020624;VALERIO STRANG PROF;MOGI MIRIM;-22,43541;-46,9445;NULL;3,26;1,82;NULL;NULL;NULL;NULL;259,2;245;269,6;261,3;Urbana;Estadual;NULL;27,7;31,9;5,37;Nível 5;2,6;0;0;0;0;0;0;0;0;11,2;37;25,9;25,9;0;0;0;50;26,7;23,3;28;Feminino;De30a29;D;B;A;F;G;F;B;B;E;B;B;E;E;H;C;A;C;B;D;D;B;C;C;D;D;C;B;B;B;D;C;C;D;B;A;A;A;B;Sim;Não;Não;A;A;A;A;A;A;B;A;A;A;A;A;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;A
20679;35020679;JOSE JUSTINO DE OLIVEIRA;SANTO ANTONIO DO JARDIM;-22,11344;-46,68158;NULL;3,72;3,88;NULL;NULL;NULL;NULL;265,2;252,7;292,5;301;Urbana;Estadual;NULL;31,9;27,8;4,88;Nível 4;2,8;0;0;0;0;0;0;0;0;18,7;62,5;18,8;0;5,9;11,8;5,9;52,9;17,6;5,9;20;Feminino;De40a49;D;B;C;I;C;F;C;A;G;A;A;A;C;H;E;A;D;B;D;D;B;C;C;C;C;C;B;B;B;B;B;B;A;A;A;A;A;B;Sim;Não;Não;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;B;B;B;B;B;A;B;B;A;A;A;A;B;B;A;B;A
20680;35020680;ANESIA MARTINS MATTOS PROFESSORA;SAO JOAO DA BOA VISTA;-21,96518;-46,80692;NULL;2,76;2,43;NULL;NULL;NULL;NULL;244,7;244,6;272,3;277,6;Urbana;Estadual;NULL;21,4;23;5,54;Nível 3;2,7;0;0;0;0;0;0;0;6,2;6,3;87,5;0;0;10;5;5;75;0;5;32;Feminino;De40a49;H;B;B;G;G;F;C;A;E;A;A;A;E;F;C;A;E;B;C;E;A;C;C;D;D;D;A;C;B;C;B;A;A;B;B;A;A;B;Sim;Não;Não;B;C;D;A;A;A;B;B;A;C;B;A;B;A;A;B;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
20692;35020692;CRISTIANO OSORIO DE OLIVEIRA CORONEL;SAO JOAO DA BOA VISTA;-21,9679;-46,7895;NULL;4,47;4,08;NULL;NULL;NULL;NULL;281,3;269,6;302,5;316,4;Urbana;Estadual;NULL;34,1;22,8;3,78;Nível 2;3,8;0;0;0;0;0;0;0;4,7;85,7;4,8;4,8;0;0;9,4;81;4,8;4,8;0;12;Feminino;55mais;;B;;K;D;F;G;F;G;B;B;E;E;H;E;A;D;D;D;D;B;C;C;C;C;C;A;C;C;C;C;A;C;B;A;A;A;B;Sim;Sim;Não;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;B;B;B;B;A;A;B;B;B;A;B;B;A;A;A;A;A
20709;35020709;DOMINGOS THEODORO DE OLIVEIRA AZEVEDO;SAO JOAO DA BOA VISTA;-21,9809;-46,7903;NULL;3,91;3,11;NULL;NULL;NULL;NULL;262,8;260,1;275,4;288,8;Urbana;Estadual;NULL;34,1;30,6;3,39;Nível 4;2,2;0;0;0;0;0;0;0;0;10;55;15;20;0;5,3;0;68,4;15,8;10,5;8;Masculino;De50a54;I;B;C;I;A;H;F;D;G;B;B;E;D;H;D;C;A;H;D;D;B;C;C;C;C;C;A;B;A;B;A;A;A;B;B;B;B;B;Sim;Não;Não;B;D;C;C;A;A;B;A;A;A;A;A;B;B;A;A;A;B;B;B;B;A;A;A;B;A;A;B;B;A;A;B;B;A
20710;35020710;TEOFILO DE ANDRADE DOUTOR;SAO JOAO DA BOA VISTA;-21,96255;-46,79782;NULL;5,04;3,92;NULL;NULL;NULL;NULL;291;276,6;303,2;303,4;Urbana;Estadual;NULL;35,2;35,5;2,71;Nível 4;2,9;0;0;0;0;0;0;0;4;16;64;4;12;0;4,1;16,7;58,3;4,2;16,7;12;Feminino;55mais;I;B;C;I;A;E;G;G;G;B;B;E;D;H;C;D;D;B;C;D;B;C;C;C;C;D;A;C;B;C;B;B;A;B;A;A;A;B;Sim;Não;Não;C;D;A;A;B;A;D;C;C;C;A;A;B;B;A;A;A;B;B;B;B;B;A;B;B;A;A;A;A;A;A;A;B;A
20734;35020734;ADEMAR VIEIRA PISCO;SANTA MARIA DA SERRA;-22,56777;-48,1606;NULL;5,66;5,59;NULL;NULL;NULL;NULL;311,5;269,8;355,7;311;Urbana;Estadual;NULL;28,1;22;6,08;Nível 2;3,7;0;0;0;0;0;0;0;0;88,2;0;11,8;0;0;6,2;81,3;0;12,5;0;8;Feminino;De50a54;D;B;C;K;A;E;F;D;G;B;B;E;E;H;C;C;A;H;D;D;B;C;C;C;C;C;B;C;C;C;C;C;A;B;A;A;A;B;Sim;Sim;Não;D;A;B;B;A;A;A;A;A;B;A;A;B;B;A;B;A;B;B;B;B;B;B;A;B;A;A;A;A;A;A;A;A;A
20758;35020758;MIRANDOLINA DE ALMEIDA CANTO PROFESSORA;PIRACICABA;-22,74023;-47,62221;6,24;NULL;NULL;207,9;192,7;238,9;229,4;NULL;NULL;NULL;NULL;Urbana;Estadual;26,7;NULL;NULL;3,41;Nível 2;2,3;16,6;46,7;10;16,7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;8;Feminino;55mais;D;B;A;J;C;F;F;F;G;B;B;E;D;F;C;A;A;B;B;D;B;C;D;D;D;D;B;B;B;D;C;D;B;B;A;A;A;B;Sim;Não;Não;A;C;A;A;A;A;A;A;B;B;A;A;A;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
20761;35020761;ALCIDES GUIDETTI ZAGATTO PROFESSOR;PIRACICABA;-22,74494;-47,65356;5,92;NULL;NULL;242,8;214,4;237,8;225,4;NULL;NULL;NULL;NULL;Urbana;Estadual;29,7;NULL;NULL;4,97;Nível 1;3,6;0;81,8;18,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;Feminino;De30a29;H;C;E;I;D;E;C;B;E;B;B;E;E;H;C;C;D;H;D;D;B;D;D;D;D;D;B;D;D;D;D;D;A;B;A;A;A;B;Sim;Sim;Não;D;A;C;B;D;A;A;B;A;A;A;A;B;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
20771;35020771;AUGUSTO SAES PROFESSOR;PIRACICABA;-22,73608;-47,63534;6,24;NULL;NULL;224,6;201;239,5;224,7;NULL;NULL;NULL;NULL;Urbana;Estadual;31;35,2;NULL;2,49;Nível 3;2,3;0;70,6;17,6;11,8;0;0;0;15,8;5,3;68,4;10,5;0;0;0;0;0;0;0;16;Feminino;De40a49;D;B;C;I;A;E;F;D;G;B;B;E;D;F;C;A;F;H;D;B;B;D;D;D;D;D;B;D;B;C;B;D;B;A;A;B;A;B;Sim;Não;Não;B;C;C;A;A;A;A;B;B;A;A;B;B;B;A;B;A;B;A;B;B;B;B;B;B;A;A;A;B;A;B;B;A;A
20783;35020783;JOAO CONCEICAO DOUTOR;PIRACICABA;-22,74111;-47,65651;NULL;3,41;2,61;NULL;NULL;NULL;NULL;255;257,2;279,5;280,4;Urbana;Estadual;NULL;32,8;34,5;2,85;Nível 4;2,3;0;0;0;0;0;0;0;0;8,3;62,5;25;4,2;0;0;6,9;62,8;25,6;4,7;16;Masculino;De40a49;H;D;D;J;C;D;C;B;G;B;B;B;D;D;C;B;C;B;D;E;A;D;C;C;D;D;D;D;C;C;C;B;D;B;A;A;A;B;Sim;Não;Não;C;C;D;A;D;A;C;B;B;D;A;A;A;B;A;A;B;A;A;B;B;B;A;A;B;A;A;B;B;A;A;B;B;A
20795;35020795;MARIA JANUARIA VAZ TUCCORI PROFESSORA;CAPIVARI;-23,0098;-47,5041;NULL;5,19;3,97;NULL;NULL;NULL;NULL;292,3;282,4;308,1;305,7;Urbana;Estadual;NULL;37,4;35,2;3,47;Nível 4;2,7;0;0;0;0;0;0;0;10,5;15,8;52,6;15,8;5,3;0;13,1;17,4;47,8;13;8,7;20;Masculino;55mais;H;B;B;J;A;G;G;G;G;B;B;E;C;F;C;D;F;E;C;C;A;D;D;D;D;D;C;C;C;D;D;D;B;B;A;A;A;B;Sim;Não;Não;C;B;A;A;A;A;B;C;B;C;A;A;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
20825;35020825;ELIAS DE MELLO AYRES PROFESSOR;PIRACICABA;-22,71511;-47,64544;NULL;4,76;3,49;NULL;NULL;NULL;NULL;289,9;260,8;301,2;295,2;Urbana;Estadual;NULL;36,5;39,3;0,77;Nível 4;2,6;0;0;0;0;0;0;0;3,5;3,4;58,6;20,7;13,8;0;0;24,2;51,7;17,2;6,9;32;Masculino;De30a29;H;D;B;E;G;D;;C;E;B;B;C;B;H;;B;B;H;D;C;B;C;C;C;C;C;A;B;C;C;C;C;B;B;A;A;A;B;Sim;Não;Não;A;D;D;A;A;D;D;A;C;A;A;A;A;B;A;B;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
20837;35020837;CATHARINA CASALE PADOVANI PROFESSORA;PIRACICABA;-22,6738;-47,68329;NULL;3,43;2,41;NULL;NULL;NULL;NULL;256,1;252,1;281,2;271,4;Urbana;Estadual;NULL;32,8;36,5;4,36;Nível 4;2,5;0;0;0;0;0;0;0;0;18,2;66,7;12,1;3;0;0;5,1;59;25,6;10,3;8;Feminino;55mais;G;B;C;I;C;F;A;A;E;B;A;A;B;H;C;C;E;B;D;D;B;C;C;C;C;C;B;C;B;C;B;B;B;B;A;A;A;B;Sim;Não;Não;A;B;B;A;B;A;B;B;A;C;B;A;A;B;A;B;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
20849;35020849;ANTONIO DE MELLO COTRIM PROFESSOR;PIRACICABA;-22,75145;-47,651;NULL;NULL;4,19;NULL;NULL;NULL;NULL;NULL;NULL;312,8;319,5;Urbana;Estadual;NULL;NULL;25,3;4,42;Nível 2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;33,3;60;6,7;0;0;8;Feminino;De50a54;H;B;A;J;G;F;C;A;G;A;B;D;E;H;C;A;D;H;D;D;B;D;D;D;D;D;A;C;C;C;C;C;C;B;A;A;A;B;Sim;Sim;Não;C;A;B;A;B;A;A;B;A;B;A;A;B;A;B;A;A;B;B;B;B;B;A;B;B;A;A;A;A;A;A;A;A;A
20850;35020850;MANOEL FERRAZ PROFESSOR;BOM JESUS DOS PERDOES;-23,12158;-46,47903;NULL;4,22;3,59;NULL;NULL;NULL;NULL;274,1;267,6;302,8;305,6;Urbana;Estadual;NULL;36,9;33,5;6,14;Nível 4;2,6;0;0;0;0;0;0;0;9,5;28,6;57,1;0;4,8;0;0;18,6;56,3;18,8;6,3;12;Feminino;De40a49;I;B;C;H;G;F;D;D;F;B;B;D;C;H;C;D;A;H;D;D;B;D;D;D;D;D;D;D;D;D;D;D;B;A;A;A;A;B;Sim;Não;Não;D;A;D;A;D;A;B;A;A;C;A;A;B;B;A;A;A;B;B;B;B;A;A;B;B;A;A;A;A;A;A;A;A;A
20862;35020862;PRUDENTE DOUTOR;PIRACICABA;-22,72228;-47,64304;NULL;4,79;NULL;NULL;NULL;NULL;NULL;288;267,8;NULL;NULL;Urbana;Estadual;NULL;34,9;NULL;1,23;Nível 2;3,7;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0;0;10;Feminino;De30a29;H;B;C;H;D;E;C;B;E;B;B;E;E;F;C;A;F;H;D;D;B;D;D;D;D;D;D;D;C;D;C;B;B;A;A;A;A;B;Sim;Sim;Não;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;B;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
20886;35020886;FRANCISCA ELISA DA SILVA;PIRACICABA;-22,71313;-47,66788;6,17;4,05;NULL;NULL;NULL;236;222,2;272,1;254,7;NULL;NULL;Urbana;Estadual;NULL;31,1;NULL;1;Nível 3;2,4;0;0;0;0;0;0;0;6,6;26,7;60;6,7;0;0;0;0;0;0;0;12;Feminino;55mais;;D;A;J;A;D;G;E;G;B;B;D;C;F;C;C;D;H;D;C;B;C;C;C;C;C;D;A;A;B;B;A;A;B;A;A;A;B;Sim;Não;Não;A;B;A;A;B;A;B;B;B;B;A;A;B;B;A;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;A;A;B;A
20898;35020898;HONORATO FAUSTINO;PIRACICABA;-22,71163;-47,63974;9,4;NULL;NULL;288,1;261,9;305,6;275,6;NULL;NULL;NULL;NULL;Urbana;Estadual;32,9;NULL;NULL;2,25;Nível 1;4;0;71,4;14,3;14,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;Masculino;De50a54;D;B;C;J;D;F;D;D;G;B;B;E;E;F;C;C;A;H;B;D;B;C;D;C;C;C;B;B;B;D;D;B;B;B;A;A;A;B;Sim;Sim;Não;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
20916;35020916;MORAIS BARROS;PIRACICABA;-22,72154;-47,64902;7;NULL;NULL;231;203,4;255,2;233,1;NULL;NULL;NULL;NULL;Urbana;Estadual;32,1;NULL;NULL;3;Nível 1;2,5;0;36,8;21,1;31,6;10,5;0;0;0;0;0;0;0;0;0;0;0;0;0;12;Feminino;De50a54;D;B;C;I;A;F;E;D;G;B;B;E;C;H;C;A;A;B;B;D;B;C;D;D;D;D;B;B;B;B;C;A;B;A;B;A;A;B;Sim;Não;Sim;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;B;A;B;A;B;A
20928;35020928;PEDRO DE MELLO;PIRACICABA;-22,74207;-47,52673;5,97;3,8;3,13;NULL;NULL;224,5;222,8;267;255,2;280,5;280,2;Rural;Estadual;NULL;30,7;27,8;4,55;Nível 2;1,6;0;0;0;0;0;0;0;15;85;0;0;0;0;14,3;78,6;7,1;0;0;36;Masculino;De30a29;G;B;C;F;G;F;C;C;F;B;B;E;B;H;C;A;E;H;D;D;B;D;D;D;D;D;D;D;D;D;D;D;D;A;A;A;A;B;Sim;Não;Não;B;D;C;A;A;A;B;A;C;A;A;A;B;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
20965;35020965;RIO BRANCO BARAO DO;PIRACICABA;-22,73028;-47,65004;NULL;3,13;2,89;NULL;NULL;NULL;NULL;251,3;246,5;286,2;282,5;Urbana;Estadual;NULL;30,4;27,8;2,56;Nível 5;2,3;0;0;0;0;0;0;0;0;15,3;30,8;30,8;23,1;0;0;0;65;30;5;16;Masculino;De40a49;;B;A;I;G;G;B;B;G;B;B;C;C;F;C;A;E;B;D;D;B;C;C;C;C;B;A;B;B;B;B;A;B;B;A;A;A;B;Sim;Não;Não;B;D;D;A;B;A;D;C;B;B;A;A;A;B;A;A;A;B;A;B;B;A;A;A;B;A;A;A;B;A;A;B;B;A
20989;35020989;PEDRO MORAES CAVALCANTI;PIRACICABA;-22,74187;-47,59663;5,99;4,56;4,22;234,6;215,3;238,4;224,6;291,6;270,6;323,2;315,6;Urbana;Estadual;29;36,8;36,6;2,03;Nível 4;2,2;10;70;0;0;20;0;0;0;15,4;69,2;15,4;0;0;0;21,7;60,9;17,4;0;48;Feminino;De50a54;D;B;A;I;G;G;E;E;G;B;B;E;D;F;C;A;D;H;C;D;B;D;C;C;C;D;A;C;B;D;D;D;B;A;A;A;A;B;Sim;Não;Não;D;D;D;A;C;A;B;A;B;C;B;B;B;B;A;A;A;B;B;B;B;A;A;B;B;A;A;A;A;A;A;A;A;A
20990;35020990;JOSE ABILIO DE PAULA;SAO PEDRO;-22,55115;-47,90665;NULL;NULL;3,17;NULL;NULL;NULL;NULL;NULL;NULL;299,3;292,7;Urbana;Estadual;NULL;NULL;30,6;4,3;Nível 4;2,9;0;0;0;0;0;0;0;0;0;0;0;0;3,8;0;15,4;42,3;23,1;15,4;6;Feminino;55mais;;D;B;K;A;F;G;F;G;B;A;A;D;H;C;D;B;B;D;D;B;C;D;D;D;D;B;B;B;C;B;B;B;B;A;A;A;B;Sim;Não;Não;A;C;D;D;C;B;C;C;B;B;A;A;B;B;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
21027;35021027;JOSE ROMAO PROFESSOR;PIRACICABA;-22,71102;-47,65665;5,15;5,17;NULL;NULL;NULL;218,3;212,2;294,6;276,4;NULL;NULL;Urbana;Estadual;NULL;33,9;NULL;1,97;Nível 3;2,1;0;0;0;0;0;0;0;7;24,1;58,6;10,3;0;0;0;0;0;0;0;16;Feminino;55mais;;B;A;I;C;G;D;B;G;B;A;E;C;F;;C;D;H;D;D;B;C;C;D;C;D;A;B;B;D;C;B;B;B;A;A;A;B;Sim;Não;Não;A;C;A;B;B;A;B;A;A;A;A;A;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
21039;35021039;MANOEL DIAS DE ALMEIDA PROFESSOR;SALTINHO;-22,84602;-47,6772;NULL;3,86;3,39;NULL;NULL;NULL;NULL;266,7;259,3;297,3;291,9;Urbana;Estadual;NULL;29,6;30,1;3,1;Nível 4;2,6;0;0;0;0;0;0;0;3,8;7,7;65,4;7,7;15,4;0;3,5;3,4;75,9;6,9;10,3;20;Feminino;55mais;H;B;D;I;D;H;D;C;G;B;B;E;E;F;C;D;F;J;C;C;B;D;B;C;C;C;C;C;C;C;C;C;C;A;A;A;A;B;Sim;Não;Não;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;B;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
21052;35021052;OLIVIA BIANCO PROFESSORA;PIRACICABA;-22,73816;-47,66302;NULL;3,67;2,9;NULL;NULL;NULL;NULL;260,2;257,1;281,8;290,3;Urbana;Estadual;NULL;34,3;34,4;3,8;Nível 4;2,7;0;0;0;0;0;0;0;0;12,8;71,8;10,3;5,1;0;5,9;11,8;67,6;11,8;2,9;32;Feminino;De40a49;I;B;D;H;C;F;C;A;F;B;A;A;C;F;C;B;E;H;C;D;A;C;C;D;D;D;A;B;B;C;B;A;B;A;A;A;A;B;Sim;Não;Não;D;D;D;C;D;C;D;C;D;D;A;A;A;B;A;A;A;B;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A
21064;35021064;JERONYMO GALLO MONSENHOR;PIRACICABA;-22,71066;-47,65669;NULL;3,76;4,16;NULL;NULL;NULL;NULL;262,6;252,3;304;312,6;Urbana;Estadual;NULL;34,5;29,8;2,17;Nível 2;3,8;0;0;0;0;0;0;0;0;87;4,3;8,7;0;0;0;82,3;5,9;11,8;0;12;Feminino;De40a49;D;B;A;K;F;F;F;D;G;B;B;E;E;F;E;A;C;A;D;D;B;D;D;D;C;C;A;B;B;D;B;A;B;A;B;A;B;B;Sim;Sim;Não;C;D;A;A;C;A;A;B;A;C;A;A;B;B;A;A;A;B;B;B;B;B;A;A;B;B;A;A;A;A;A;A;A;A
21088;35021088;JACANA ALTAIR PEREIRA GUERRINI PROFESSORA;PIRACICABA;-22,71851;-47,62482;7,71;NULL;NULL;239,5;195,5;258,2;256,7;NULL;NULL;NULL;NULL;Urbana;Estadual;26,3;NULL;NULL;4,41;Nível 1;2,7;4,8;23,8;9,5;38,1;14,3;9,5;0;0;0;0;0;0;0;0;0;0;0;0;20;Masculino;De50a54;G;B;C;H;F;G;C;C;G;B;B;E;B;F;D;A;D;A;B;B;B;C;D;D;D;D;D;D;D;D;B;C;A;A;A;A;A;A;Sim;Não;Sim;B;A;B;A;B;A;A;A;A;B;A;A;B;B;B;B;A;B;B;B;B;B;B;B;B;A;A;A;B;A;B;A;B;A
21097;35021097;JOSE DE MELLO MORAES PROFESSOR;PIRACICABA;-22,71609;-47,63684;NULL;5,54;4,22;NULL;NULL;NULL;NULL;297,1;281,6;305,4;306,5;Urbana;Estadual;NULL;34,7;30,3;2,49;Nível 2;4;0;0;0;0;0;0;0;15,8;84,2;0;0;0;0;17,6;82,4;0;0;0;12;Feminino;55mais;;B;B;J;F;F;D;D;G;B;B;E;E;H;E;C;D;F;D;D;B;D;C;C;C;C;A;C;C;D;C;B;B;B;A;A;A;B;Sim;Sim;Não;C;A;B;C;B;A;B;B;A;B;A;A;A;B;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
21118;35021118;JENI APPRILANTE PROFESSORA;RAFARD;-23,0148;-47,53;NULL;3,36;2,59;NULL;NULL;NULL;NULL;254,8;245,4;291,2;285;Urbana;Estadual;NULL;30,4;31,7;4,22;Nível 4;3;0;0;0;0;0;0;0;12,9;16,1;45,2;12,9;12,9;0;3,9;15,4;50;19,2;11,5;20;Feminino;De50a54;D;B;C;I;C;H;C;C;G;B;A;A;D;F;C;A;B;B;C;D;B;C;D;D;C;D;B;B;B;B;B;B;A;B;A;A;B;B;Sim;Não;Não;C;B;A;B;A;A;A;A;A;B;A;A;B;B;A;B;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
21124;35021124;MATEUS BISPO DOM;MOMBUCA;-22,92697;-47,56594;NULL;NULL;3,72;NULL;NULL;NULL;NULL;NULL;NULL;297,3;299,1;Urbana;Estadual;NULL;NULL;19,5;5,19;Nível 3;2,4;0;0;0;0;0;0;0;0;0;0;0;0;7,6;0;38,5;30,8;0;23,1;0;Feminino;De40a49;F;B;C;F;G;E;C;C;E;B;B;E;C;F;E;A;E;B;D;D;B;C;C;C;C;C;B;D;D;D;D;B;B;A;A;A;A;B;Sim;Não;Não;B;B;A;D;B;A;A;B;A;B;A;A;B;B;A;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;A;A;B;A
